artist_id,followers,artist_name,artist_popularity,artist_genre,artist_total_albums
6vWDO969PvNqNYHIOW5v0m,37011895,Beyoncé,92,"['pop', 'r&b']",258
06HL4z0CvFAxyc27GXpf02,106719591,Taylor Swift,100,['pop'],382
0b1sIQumIAsNbqAoIClSpy,17254877,j-hope,77,"['k-pop', 'k-rap']",11
4oUHIQIBe0LHzYfvXNW4QM,8967917,Morgan Wallen,88,['contemporary country'],66
66CXWjxzNUsdJxJ2JdwvnR,95650823,Ariana Grande,95,['pop'],416
1RyvyyTE3xzB2ZywiAwp0i,16490015,Future,93,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",1216
40ZNYROS4zLfyyBSs2PGe2,3637527,Zach Bryan,88,['classic oklahoma country'],1069
1McMsnEElThX1knmY4oliG,34716051,Olivia Rodrigo,90,['pop'],795
0iEtIxbK0KxaSlF7G42ZOp,7601687,Metro Boomin,93,"['hip hop', 'rap']",184
7tYKF4w9nC0nq9CsPZTHyP,18884205,SZA,91,"['pop', 'r&b', 'rap']",516
