track_name,track_id,danceabiltiy,energy,key,loudness,mode,speachiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration,album_name,album_id
AMERIICAN REQUIEM,6K2Iut8nSQigP83yvbiqi8,0.374,0.515,4,-6.482,1,0.0363,0.0963,0.0,0.171,0.0568,93.769,4,5.4173,COWBOY CARTER,6BzxX6zkDsYKFJ04ziU5xQ
BLACKBIIRD,7eEr7lgWYudwEKEaWCPiPI,0.476,0.192,7,-12.553,1,0.0269,0.716,0.0,0.11,0.201,93.709,4,2.19915,COWBOY CARTER,6BzxX6zkDsYKFJ04ziU5xQ
16 CARRIAGES,6XXxKsu3RJeN3ZvbMYrgQW,0.525,0.456,1,-7.042,1,0.0798,0.382,0.0,0.167,0.342,126.691,4,3.7875,COWBOY CARTER,6BzxX6zkDsYKFJ04ziU5xQ
PROTECTOR,4dsdSwSdBWjlsVzU6iJs3b,0.377,0.33,8,-9.476,1,0.0525,0.861,0.0,0.318,0.574,84.624,4,3.0733333333333333,COWBOY CARTER,6BzxX6zkDsYKFJ04ziU5xQ
MY ROSE,486YUqcmF9IWPkreU0THcQ,0.384,0.177,2,-11.755,0,0.0418,0.771,0.0,0.0943,0.59,175.953,3,0.8907166666666667,COWBOY CARTER,6BzxX6zkDsYKFJ04ziU5xQ
SMOKE HOUR ★ WILLIE NELSON,2dv2DYn0V0j0Wx6Ra40bce,0.739,0.406,5,-15.215,1,0.921,0.963,0.000753,0.849,0.82,71.653,4,0.84535,COWBOY CARTER,6BzxX6zkDsYKFJ04ziU5xQ
TEXAS HOLD 'EM,7wLShogStyDeZvL0a6daN5,0.727,0.711,2,-6.549,1,0.078,0.582,0.0,0.158,0.375,110.012,4,3.89095,COWBOY CARTER,6BzxX6zkDsYKFJ04ziU5xQ
BODYGUARD,6Y4rniIxibegzsg8cdWAWV,0.726,0.779,4,-5.432,0,0.0551,0.0137,0.000235,0.365,0.539,119.031,4,4.0042333333333335,COWBOY CARTER,6BzxX6zkDsYKFJ04ziU5xQ
DOLLY P,1fp4DIjhHyptQWK00CZgFQ,0.873,0.363,4,-14.204,1,0.221,0.565,0.0,0.464,0.945,106.167,4,0.37705,COWBOY CARTER,6BzxX6zkDsYKFJ04ziU5xQ
JOLENE,2PmMh2t7jAtN6cqFooA0Xy,0.567,0.812,11,-5.434,0,0.164,0.532,0.0,0.73,0.853,106.179,4,3.16065,COWBOY CARTER,6BzxX6zkDsYKFJ04ziU5xQ
I'M THAT GIRL,1MpCaOeUWhox2Fgigbe1cL,0.554,0.535,5,-8.959,0,0.186,0.0616,1.32e-05,0.124,0.136,105.865,4,3.4669,RENAISSANCE,6FJxoadUE4JNVwWHghBwnb
COZY,0mKGwFMHzTprtS2vpR3b6s,0.556,0.63,7,-8.15,1,0.102,0.000828,0.00468,0.155,0.367,149.147,5,3.5062,RENAISSANCE,6FJxoadUE4JNVwWHghBwnb
